Epoch	Averagefailure_rate	Stdfailure_rate	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageQCVar	StdQCVar	MaxQCVar	MinQCVar	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossQCVar	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
21	0.16666667	0.062360957	0.12423768	1.0106814	2.244412	-1.7939036	0.2703287	1.6739193	5.409481	-9.582817	16.416666	37.74246	142.0	0.0	48.758335	164.36726	895.0	0.0	1000.0	1000.0	0.16666667	0.28333333	15671.0	0.028492727272727274	525004.0	-1.6042455	0.9825325	-0.14253527	-8.024943	-1.6042423	0.9825309	-0.13677919	-8.006958	1.4769142	2.7895455	43.08638	-23.588419	0.91206175	2.6550634	82.46576	1e-08	1.943003	5.170376	99.55472	-10.436993	2.5170877	0.0011533729	0.0011569965	0.06864996	0.27111116	0.0002568533	-5.486827	0.004291378	8.827893e-10	-18.0168	1.4976226e-08	-1.943003	23.668097	129.73822	2746.8876855373383
22	0.10000001	0.052704632	0.7199579	1.895661	4.7193284	-2.2221408	-0.3464137	1.2815949	3.4765725	-3.033913	37.708332	78.42485	290.0	0.0	21.783333	104.00947	896.0	0.0	1000.0	1000.0	0.5	0.175	16576.0	0.028827826086956523	550004.0	-1.6407468	1.0388281	-0.13406712	-8.835023	-1.6407375	1.0388529	-0.13425201	-8.932908	1.4737266	2.8080437	42.73244	-31.799437	0.9379914	2.7701778	77.65726	1e-08	2.0098639	5.500701	114.705154	-11.592592	3.054238	0.0014110041	0.001404937	0.07177338	0.2780157	-1.9529092e-05	-5.458415	0.004296542	5.9998007e-10	-18.0168	1.4976223e-08	-2.0098636	23.679747	131.53592	2878.3023719787598
23	0.116666675	0.0372678	0.14613378	1.5053042	4.684543	-2.1077204	0.25259373	1.5743742	9.4711275	-2.1090255	27.541666	65.78816	307.0	0.0	36.391666	123.82537	716.0	0.0	1000.0	1000.0	0.375	0.34166667	17555.0	0.029258333333333334	575004.0	-1.7104384	1.1194881	-0.124248266	-9.496593	-1.7104189	1.1195098	-0.112396	-9.525293	1.4512588	2.7271507	45.34565	-24.377352	0.95169955	2.7830942	75.22106	1e-08	1.9596276	5.353247	113.53093	-12.659842	2.728399	0.001705832	0.001702396	0.07295048	0.2734196	0.0001636321	-5.383969	0.0047239265	7.586788e-10	-18.0168	1.4976226e-08	-1.9596276	23.60735	129.56677	3007.920942544937
24	0.058333337	0.02763854	0.18529575	1.4450165	4.3868656	-1.994201	-0.6992161	1.6734324	3.376987	-5.431584	41.857143	121.332115	563.0	0.0	8.808333	61.97208	674.0	0.0	1000.0	1000.0	0.39285713	0.175	18409.0	0.0294544	600004.0	-1.7749705	1.1566005	-0.1317609	-9.43773	-1.7749577	1.1566056	-0.13030481	-9.378865	1.4669228	2.7010188	44.230865	-20.242523	0.9379052	2.742131	77.81574	1.0890896e-08	2.033369	5.4382105	88.16207	-10.845427	2.9513483	0.001730083	0.0017403832	0.07294028	0.27067947	-0.000106448446	-5.4790215	0.004252771	6.6255057e-10	-18.0168	1.4976223e-08	-2.033369	23.786247	131.95688	3139.8441033363342
25	0.08333334	0.0372678	-0.21361494	1.6867999	2.6229482	-3.8488452	-0.2138832	1.337751	4.0560308	-5.2027674	3.0	11.361485	55.0	0.0	11.233334	66.79006	697.0	0.0	1000.0	1000.0	0.33333334	0.20833333	18481.0	0.02843230769230769	625004.0	-1.7846488	1.1362818	-0.14991623	-10.065767	-1.7846467	1.136256	-0.14307094	-9.978846	1.4563142	2.7176645	51.944973	-20.592615	0.9887333	2.975294	81.38942	1e-08	2.0235975	5.3283095	77.54514	-10.962988	2.9338748	0.0017300964	0.0017591929	0.07542014	0.27397773	-0.00012545638	-5.611807	0.0037113435	7.0131445e-10	-18.0168	1.4976226e-08	-2.0235975	23.808933	129.75629	3269.581503391266
26	0.058333337	0.014433757	0.20739569	1.5944257	4.1466527	-2.1688855	0.012178572	1.3508767	4.0094447	-8.132914	19.458334	40.04995	138.0	0.0	17.966667	110.074066	880.0	0.0	1000.0	1000.0	0.375	0.16666667	18948.0	0.028071111111111113	650004.0	-1.8330486	1.1938221	-0.15021509	-9.765125	-1.8330427	1.1938286	-0.1365264	-9.8165045	1.4452108	2.67479	50.629498	-15.880789	0.9975037	3.077073	81.98166	1.697634e-08	1.943732	5.2879868	95.382576	-12.782273	2.797006	0.0017967955	0.0017939849	0.07447846	0.26942894	0.00028440243	-5.518648	0.004289512	8.0892437e-10	-18.0168	1.4976223e-08	-1.943732	23.714434	131.91948	3401.4959082603455
27	0.058333337	0.014433757	-0.1769541	1.5516653	3.475239	-2.3338656	0.26589507	1.2951905	6.3904343	-1.5270898	2.5833333	6.102709	23.0	0.0	13.325	83.70216	869.0	0.0	1000.0	1000.0	0.25	0.275	19010.0	0.02715714285714286	675004.0	-1.81607	1.1619899	-0.16816813	-11.119416	-1.8160625	1.1620016	-0.14704978	-11.202574	1.4472146	2.6556597	46.127594	-22.309305	1.003611	3.062694	72.19529	1e-08	2.0053632	5.489817	92.12999	-11.72308	2.7991657	0.0019094698	0.0019010056	0.071430005	0.26142174	-8.55392e-06	-5.390319	0.004689803	7.6982754e-10	-18.0168	1.4976226e-08	-2.005363	23.603558	129.92691	3531.469541788101
28	0.083333336	0.016666666	-0.27878156	1.2575511	2.6195157	-2.507575	0.13656658	1.1667346	5.3640933	-2.1011434	2.3214285	10.003761	53.0	0.0	20.75	99.54172	688.0	0.0	1000.0	1000.0	0.14285715	0.25833333	19075.0	0.026310344827586207	700004.0	-1.8016932	1.1420331	-0.1687566	-10.269042	-1.801689	1.1420596	-0.18029785	-10.0496235	1.4552335	2.5521717	42.809395	-12.759389	0.9745787	2.9523864	67.185356	1e-08	2.007997	4.8101315	94.430176	-11.187315	2.4873893	0.0018074341	0.0017811245	0.06459807	0.24254867	-4.9056514e-05	-5.717418	0.0034626613	8.5754337e-10	-18.0168	1.4976223e-08	-2.0079968	23.777992	131.80482	3663.208806991577
29	0.18333334	0.068718426	0.2558811	1.1819439	3.6384094	-1.706115	0.3978807	1.5819577	5.4801965	-2.3132281	45.875	122.08306	593.0	0.0	30.808332	96.3954	528.0	0.0	1000.0	1000.0	0.29166666	0.35	20176.0	0.026901333333333333	725004.0	-1.8319682	1.132534	-0.1772486	-10.669364	-1.831961	1.1325209	-0.18892592	-10.58375	1.4214158	2.5129423	42.93388	-14.045349	1.0049454	3.0685766	77.3223	1e-08	1.8974556	4.8528767	88.73583	-10.859878	2.129485	0.0019453425	0.001956704	0.06650276	0.24267386	0.00044350728	-5.5514865	0.004071268	1.0931513e-09	-18.0168	1.4976226e-08	-1.8974559	23.316938	129.1033	3792.5237255096436
30	0.16666667	0.06236096	0.36503848	1.8322237	7.151126	-1.4976953	0.13161492	1.2870513	5.733949	-3.280521	8.041667	17.699999	64.0	0.0	25.433332	71.55728	554.0	0.0	1000.0	1000.0	0.33333334	0.23333333	20431.0	0.02636258064516129	750004.0	-1.8753194	1.1415713	-0.13565987	-13.523812	-1.8753271	1.1415801	0.109604	-13.57656	1.4105045	2.5533695	41.589035	-15.439183	1.051459	3.19921	78.966866	1e-08	1.9606994	4.9996686	83.28983	-11.02988	2.4910038	0.002086442	0.002080063	0.07039211	0.25171456	0.00019786264	-5.5291214	0.004155504	9.418744e-10	-18.0168	1.4976223e-08	-1.9606994	23.627941	131.68773	3924.037162542343
